Sensor at x=1112863, y=496787: closest beacon is at x=1020600, y=2000000
Sensor at x=2980210, y=1712427: closest beacon is at x=2946825, y=1712605
Sensor at x=2799204, y=1425283: closest beacon is at x=2946825, y=1712605
Sensor at x=3999908, y=2754283: closest beacon is at x=4064129, y=2651511
Sensor at x=760990, y=1455625: closest beacon is at x=1020600, y=2000000
Sensor at x=3996490, y=3239979: closest beacon is at x=4064129, y=2651511
Sensor at x=3347352, y=3603589: closest beacon is at x=3621840, y=3614596
Sensor at x=2888433, y=2337157: closest beacon is at x=2946825, y=1712605
Sensor at x=3423261, y=2191958: closest beacon is at x=3153728, y=1862250
Sensor at x=1160237, y=3999960: closest beacon is at x=109153, y=3585462
Sensor at x=693519, y=3701289: closest beacon is at x=109153, y=3585462
Sensor at x=2615270, y=2824808: closest beacon is at x=2554122, y=2935074
Sensor at x=3046971, y=1755494: closest beacon is at x=2946825, y=1712605
Sensor at x=139591, y=1186912: closest beacon is at x=1020600, y=2000000
Sensor at x=2309134, y=47090: closest beacon is at x=3211831, y=-792661
Sensor at x=1849154, y=1377259: closest beacon is at x=2946825, y=1712605
Sensor at x=2515971, y=2851853: closest beacon is at x=2554122, y=2935074
Sensor at x=2524614, y=2738138: closest beacon is at x=2554122, y=2935074
Sensor at x=3811778, y=1370280: closest beacon is at x=3153728, y=1862250
Sensor at x=2615590, y=3819371: closest beacon is at x=2554122, y=2935074
Sensor at x=3996286, y=3719213: closest beacon is at x=3621840, y=3614596
Sensor at x=3963152, y=2368927: closest beacon is at x=4064129, y=2651511
Sensor at x=3495504, y=3076982: closest beacon is at x=3621840, y=3614596
Sensor at x=3725521, y=2560764: closest beacon is at x=4064129, y=2651511
Sensor at x=952643, y=2385401: closest beacon is at x=1020600, y=2000000
Sensor at x=3934384, y=2596106: closest beacon is at x=4064129, y=2651511
Sensor at x=3060628, y=3082730: closest beacon is at x=2554122, y=2935074
Sensor at x=3468382, y=3916817: closest beacon is at x=3621840, y=3614596
Sensor at x=3300107, y=469364: closest beacon is at x=3211831, y=-792661
Sensor at x=2306388, y=1932261: closest beacon is at x=2946825, y=1712605
Sensor at x=1965, y=3514070: closest beacon is at x=109153, y=3585462
Sensor at x=3081537, y=1841861: closest beacon is at x=3153728, y=1862250
Sensor at x=2997643, y=1729779: closest beacon is at x=2946825, y=1712605
Sensor at x=21714, y=3624181: closest beacon is at x=109153, y=3585462
Sensor at x=1549467, y=3109269: closest beacon is at x=2554122, y=2935074
Sensor at x=3722307, y=3839410: closest beacon is at x=3621840, y=3614596
Sensor at x=3848580, y=3544878: closest beacon is at x=3621840, y=3614596
Sensor at x=1189516, y=2153239: closest beacon is at x=1020600, y=2000000
Sensor at x=468190, y=1889204: closest beacon is at x=1020600, y=2000000
Sensor at x=270403, y=2762568: closest beacon is at x=109153, y=3585462
